NGS Gateway,Foundation,TST,Oncomine
ABL1,ABL1,AKT1,AKT1
AKT1,ABL2,EGFR,ALK
AKT2,ACVR1B,GNAS,AR
AKT3,AKT1,NRAS,BRAF
ALK,AKT2,STK11,CDK4
ASXL1,AKT3,ALK,CTNNB1
ATM,ALK,ERBB2,DDR2
ATRX,AMER1,KIT,EGFR
BAP1,APC,PDGFRA,ERBB2
BCL6,AR,TP53,ERBB3
BCOR,ARAF,APC,ERBB4
BIRC3,ARFRP1,FBXW7,ESR1
BRAF,ARID1A,KRAS,FGFR2
BRCA1,ARID1B,PIK3CA,FGFR3
BRCA2,ARID2,BRAF,GNA11
BRIP1,ASXL1,FGFR2,GNAQ
CALR,ATM,MAP2K1,HRAS
CARD11,ATR,PTEN,IDH1
CBL,ATRX,CDH1,IDH2
CD79A,AURKA,FOXL2,JAK1
CD79B,AURKB,MET,JAK2
CDH1,AXIN1,SMAD4,JAK3
CDK4,AXL,CTNNB1,KIT
CDKN2A,BAP1,GNAQ,KRAS
CEBPA,BARD1,MSH6,MAP2K1
CIC,BCL2,SRC,MAP2K2
CREBBP,BCL2L1,,MET
CSF1R,BCL2L2,,MTOR
CSF3R,BCOR,,NRAS
CTNNB1,BCORL1,,PDGFRA
DDR2,BLM,,PIK3CA
DNMT3A,BRAF,,RAF1
EGFR,BRCA1,,RET
EP300,BRCA2,,ROS1
ERBB2,BRD4,,SMO
ERBB3,BRIP1,,
ERBB4,BTG1,,
ESR1,BTK,,
ETV6,C11orf30,,
EZH2,C17orf39,,
FANCA,CARD11,,
FBXW7,CBFB,,
FGFR1,CBL,,
FGFR2,CCND1,,
FGFR3,CCND2,,
FGFR4,CCND3,,
FLT1,CCNE1,,
FLT3,CD274,,
FLT4,CD79A,,
FUBP1,CD79B,,
GATA1,CDC73 ,,
GATA2,CDH1,,
GATA3,CDK12,,
GNA11,CDK4,,
GNAQ,CDK6,,
GNAS,CDK8,,
HRAS,CDKN1A,,
IDH1,CDKN1B,,
IDH2,CDKN2A,,
IL7R,CDKN2B,,
JAK1,CDKN2C,,
JAK2,CEBPA,,
JAK3,CHD2,,
KDM6A,CHD4,,
KDR,CHEK1,,
KIT,CHEK2,,
KMT2A,CIC,,
KRAS,CREBBP,,
MAP2K1,CRKL,,
MAP2K2,CRLF2,,
MET,CSF1R,,
MLH1,CTCF,,
MPL,CTNNA1,,
MTOR,CTNNB1,,
MYC,CUL3,,
MYD88,CYLD,,
NF1,DAXX,,
NOTCH1,DDR2,,
