"","lane","tile","cycle","errorrate","nPerfect","n1Error","n2Error","n3Error","n4Error"
"1",1,1101,1,0.304936140775681,10468,32,0,0,0
"13",1,1102,1,0.340136051177979,10257,35,0,0,0
"44",1,1103,1,0.300271213054657,10302,31,0,0,0
"32",1,1104,1,0.288882672786713,10709,31,0,0,0
"45",1,1105,1,0.31963899731636,10607,34,0,0,0
"103",1,1106,1,0.260126352310181,10740,28,0,0,0
"97",1,1107,1,0.234653651714325,10635,25,0,0,0
"110",1,1108,1,0.391870945692062,10934,43,0,0,0
"201",1,1109,1,0.250859439373016,10747,27,0,0,0
"226",1,1110,1,0.39726534485817,10792,43,0,0,0
"251",1,1111,1,0.324528992176056,11063,36,0,0,0
"257",1,1112,1,0.397743046283722,10774,43,0,0,0
"260",1,1113,1,0.402470976114273,10650,43,0,0,0
"335",1,1114,1,0.344299912452698,10434,36,0,0,0
"304",1,1115,1,0.35788282752037,10587,38,0,0,0
"342",1,1116,1,0.28113579750061,10648,30,0,0,0
"401",1,1201,1,0.305343508720398,10454,32,0,0,0
"426",1,1202,1,0.35107696056366,10506,37,0,0,0
"451",1,1203,1,0.310529768466949,10599,33,0,0,0
"467",1,1204,1,0.349881798028946,10544,37,0,0,0
"479",1,1205,1,0.328484266996384,10623,35,0,0,0
"526",1,1206,1,0.311732470989227,10557,33,0,0,0
"531",1,1207,1,0.321100920438766,10873,35,0,0,0
"557",1,1208,1,0.329308450222015,10903,36,0,0,0
"601",1,1209,1,0.354900360107422,10958,39,0,0,0
"626",1,1210,1,0.343674540519714,10735,37,0,0,0
"651",1,1211,1,0.353037029504776,11014,39,0,0,0
"675",1,1212,1,0.406842350959778,10776,44,0,0,0
"682",1,1213,1,0.441190272569656,10616,47,0,0,0
"726",1,1214,1,0.379068046808243,10785,41,0,0,0
"729",1,1215,1,0.340449035167694,10838,37,0,0,0
"776",1,1216,1,0.302007466554642,11232,34,0,0,0
"801",1,2101,1,0.312855511903763,10521,33,0,0,0
"826",1,2102,1,0.299261212348938,10663,32,0,0,0
"851",1,2103,1,0.379173219203949,10775,41,0,0,0
"876",1,2104,1,0.239520952105522,10830,26,0,0,0
