,lane,tile,cycle,errorrate,nPerfect,n1Error,n2Error,n3Error,n4Error
1,1,1101,1,0.304936141,10468,32,0,0,0
2,1,1102,1,0.340136051,10257,35,0,0,0
3,1,1103,1,0.300271213,10302,31,0,0,0
4,1,1104,1,0.288882673,10709,31,0,0,0
5,1,1105,1,0.319638997,10607,34,0,0,0
6,1,1106,1,0.260126352,10740,28,0,0,0
7,1,1107,1,0.234653652,10635,25,0,0,0
8,1,1108,1,0.391870946,10934,43,0,0,0
9,1,1109,1,0.250859439,10747,27,0,0,0
10,1,1110,1,0.397265345,10792,43,0,0,0
11,1,1111,1,0.324528992,11063,36,0,0,0
12,1,1112,1,0.397743046,10774,43,0,0,0
13,1,1113,1,0.402470976,10650,43,0,0,0
14,1,1114,1,0.344299912,10434,36,0,0,0
15,1,1115,1,0.357882828,10587,38,0,0,0
16,1,1116,1,0.281135798,10648,30,0,0,0
17,1,1201,1,0.305343509,10454,32,0,0,0
18,1,1202,1,0.351076961,10506,37,0,0,0
19,1,1203,1,0.310529768,10599,33,0,0,0
20,1,1204,1,0.349881798,10544,37,0,0,0
21,1,1205,1,0.328484267,10623,35,0,0,0
22,1,1206,1,0.311732471,10557,33,0,0,0
23,1,1207,1,0.32110092,10873,35,0,0,0
24,1,1208,1,0.32930845,10903,36,0,0,0
25,1,1209,1,0.35490036,10958,39,0,0,0
26,1,1210,1,0.343674541,10735,37,0,0,0
27,1,1211,1,0.35303703,11014,39,0,0,0
28,1,1212,1,0.406842351,10776,44,0,0,0
29,1,1213,1,0.441190273,10616,47,0,0,0
30,1,1214,1,0.379068047,10785,41,0,0,0
31,1,1215,1,0.340449035,10838,37,0,0,0
32,1,1216,1,0.302007467,11232,34,0,0,0
33,1,2101,1,0.312855512,10521,33,0,0,0
34,1,2102,1,0.299261212,10663,32,0,0,0
35,1,2103,1,0.379173219,10775,41,0,0,0
36,1,2104,1,0.239520952,10830,26,0,0,0
37,1,2105,1,0.310792983,10590,33,0,0,0
38,1,2106,1,0.332594246,10794,36,0,0,0
39,1,2107,1,0.250806153,11137,28,0,0,0
40,1,2108,1,0.306251138,11071,34,0,0,0
41,1,2109,1,0.338499904,11192,38,0,0,0
42,1,2110,1,0.36146757,11029,40,0,0,0
43,1,2111,1,0.241459489,11166,27,0,0,0
44,1,2112,1,0.493716329,11089,55,0,0,0
45,1,2113,1,0.457933009,11092,51,0,0,0
46,1,2114,1,0.357270449,11164,40,0,0,0
47,1,2115,1,0.360068411,11075,40,0,0,0
48,1,2116,1,0.341715574,11379,39,0,0,0
49,1,2201,1,0.318054259,10658,34,0,0,0
50,1,2202,1,0.316014498,10729,34,0,0,0
51,1,2203,1,0.307005316,10720,33,0,0,0
52,1,2204,1,0.375251681,10889,41,0,0,0
53,1,2205,1,0.338455915,10900,37,0,0,0
54,1,2206,1,0.430570513,11104,48,0,0,0
