"","lane","tile","cycle","errorrate","nPerfect","n1Error","n2Error","n3Error","n4Error"
"1",2,1101,1,0.354378432035446,10688,38,0,0,0
"2",2,1102,1,0.314698249101639,10774,34,0,0,0
"3",2,1103,1,0.412139385938644,10635,44,0,0,0
"4",2,1104,1,0.389899730682373,10735,42,0,0,0
"5",2,1105,1,0.386882841587067,10818,42,0,0,0
"6",2,1106,1,0.294353753328323,11182,33,0,0,0
"7",2,1107,1,0.233581885695457,11112,26,0,0,0
"8",2,1108,1,0.408634632825851,11215,46,0,0,0
"9",2,1109,1,0.361271679401398,11041,40,0,0,0
"10",2,1110,1,0.319035798311234,11256,36,0,0,0
"11",2,1111,1,0.403447657823563,10866,44,0,0,0
"12",2,1112,1,0.407166123390198,11014,45,0,0,0
"13",2,1113,1,0.413450926542282,10846,45,0,0,0
"14",2,1114,1,0.340292453765869,10844,37,0,0,0
"15",2,1115,1,0.35457769036293,10965,39,0,0,0
"16",2,1116,1,0.308805376291275,11313,35,0,0,0
"17",2,1201,1,0.431626439094543,10152,44,0,0,0
"18",2,1202,1,0.349040150642395,10851,38,0,0,0
"19",2,1203,1,0.306605964899063,10733,33,0,0,0
"20",2,1204,1,0.315691739320755,10741,34,0,0,0
"21",2,1205,1,0.292563229799271,10568,31,0,0,0
"22",2,1206,1,0.359413892030716,10818,39,0,0,0
"23",2,1207,1,0.376782983541489,11112,42,0,0,0
"24",2,1208,1,0.37073877453804,11024,41,0,0,0
"25",2,1209,1,0.367849916219711,10837,40,0,0,0
"26",2,1210,1,0.413109332323074,10857,45,0,0,0
"27",2,1211,1,0.408645123243332,10970,45,0,0,0
"28",2,1212,1,0.3222835958004,10828,35,0,0,0
"29",2,1213,1,0.295612007379532,10801,32,0,0,0
"30",2,1214,1,0.261732846498489,11056,29,0,0,0
"31",2,1215,1,0.327600330114365,10957,36,0,0,0
"32",2,1216,1,0.270529717206955,11434,31,0,0,0
"33",2,2101,1,0.293616205453873,10528,31,0,0,0
"34",2,2102,1,0.44974759221077,10851,49,0,0,0
"35",2,2103,1,0.317402750253677,10996,35,0,0,0
"36",2,2104,1,0.298264652490616,11036,33,0,0,0
"37",2,2105,1,0.282949984073639,10930,31,0,0,0
"38",2,2106,1,0.392121911048889,11182,44,0,0,0
"39",2,2107,1,0.358830749988556,11391,41,0,0,0
"40",2,2108,1,0.393184810876846,11407,45,0,0,0
"41",2,2109,1,0.291795402765274,11622,34,0,0,0
"42",2,2110,1,0.393047422170639,11411,45,0,0,0
"43",2,2111,1,0.358422935009003,11680,42,0,0,0
"44",2,2112,1,0.324561417102814,11369,37,0,0,0
"45",2,2113,1,0.315015763044357,11396,36,0,0,0
"46",2,2114,1,0.316789865493774,11335,36,0,0,0
"47",2,2115,1,0.403225809335709,11373,46,0,0,0
"48",2,2116,1,0.313506186008453,11769,37,0,0,0
"49",2,2201,1,0.346344649791718,10652,37,0,0,0
"50",2,2202,1,0.359811782836914,10807,39,0,0,0
"51",2,2203,1,0.355672031641006,10653,38,0,0,0
"52",2,2204,1,0.368052989244461,10832,40,0,0,0
"53",2,2205,1,0.301479995250702,10921,33,0,0,0
"54",2,2206,1,0.352236717939377,11320,40,0,0,0
"55",2,2207,1,0.361598253250122,11027,40,0,0,0
"56",2,2208,1,0.447211503982544,11354,51,0,0,0
"57",2,2209,1,0.319177240133286,11251,36,0,0,0
"58",2,2210,1,0.214899718761444,11149,24,0,0,0
"59",2,2211,1,0.365503430366516,11458,42,0,0,0
"60",2,2212,1,0.35226771235466,11319,40,0,0,0
"61",2,2213,1,0.328801214694977,11223,37,0,0,0
"62",2,2214,1,0.431220352649689,11552,50,0,0,0
"63",2,2215,1,0.436147928237915,11418,50,0,0,0
"64",2,2216,1,0.449304848909378,11748,53,0,0,0
"65",2,1101,2,0.0932314023375511,10678,48,0,0,0
"66",2,1102,2,0.0740260928869247,10766,42,0,0,0
"67",2,1103,2,0.121734246611595,10622,57,0,0,0
"68",2,1104,2,0.12990628182888,10721,56,0,0,0
"69",2,1105,2,0.202578261494637,10796,64,0,0,0
"70",2,1106,2,0.098082922399044,11171,44,0,0,0
"71",2,1107,2,0.134686186909676,11097,41,0,0,0
"72",2,1108,2,0.11545293033123,11202,59,0,0,0
"73",2,1109,2,0.108313024044037,11029,52,0,0,0
"74",2,1110,2,0.0708466172218323,11248,44,0,0,0
"75",2,1111,2,0.146667882800102,10850,60,0,0,0
"76",2,1112,2,0.180864527821541,10994,65,0,0,0
"77",2,1113,2,0.10100082308054,10835,56,0,0,0
"78",2,1114,2,0.110283978283405,10832,49,0,0,0
"79",2,1115,2,0.0999636501073837,10954,50,0,0,0
"80",2,1116,2,0.123369753360748,11299,49,0,0,0
"81",2,1201,2,0.0981258004903793,10142,54,0,0,0
"82",2,1202,2,0.110223203897476,10839,50,0,0,0
"83",2,1203,2,0.0650557652115822,10726,40,0,0,0
"84",2,1204,2,0.0743011087179184,10733,42,0,0,0
"85",2,1205,2,0.188803926110268,10548,51,0,0,0
"86",2,1206,2,0.101401180028915,10807,50,0,0,0
"87",2,1207,2,0.11661284416914,11099,55,0,0,0
"88",2,1208,2,0.135660663247108,11009,56,0,0,0
"89",2,1209,2,0.101177334785461,10826,51,0,0,0
"90",2,1210,2,0.137665197253227,10842,60,0,0,0
"91",2,1211,2,0.108981929719448,10958,57,0,0,0
"92",2,1212,2,0.220994472503662,10804,59,0,0,0
"93",2,1213,2,0.110813558101654,10789,44,0,0,0
"94",2,1214,2,0.108283706009388,11044,41,0,0,0
"95",2,1215,2,0.163829982280731,10939,54,0,0,0
"96",2,1216,2,0.0872524231672287,11424,41,0,0,0
"97",2,2101,2,0.151529505848885,10512,47,0,0,0
"98",2,2102,2,0.110101841390133,10839,61,0,0,0
"99",2,2103,2,0.0997189730405807,10985,46,0,0,0
"100",2,2104,2,0.162616312503815,11018,51,0,0,0
"101",2,2105,2,0.145972087979317,10914,47,0,0,0
"102",2,2106,2,0.13363029062748,11167,59,0,0,0
"103",2,2107,2,0.113715887069702,11378,54,0,0,0
"104",2,2108,2,0.130992919206619,11392,60,0,0,0
"105",2,2109,2,0.128700122237206,11607,49,0,0,0
"106",2,2110,2,0.122228041291237,11397,59,0,0,0
"107",2,2111,2,0.102371610701084,11668,54,0,0,0
"108",2,2112,2,0.13152126967907,11354,52,0,0,0
"109",2,2113,2,0.113715887069702,11383,49,0,0,0
"110",2,2114,2,0.149503126740456,11318,53,0,0,0
"111",2,2115,2,0.0963475555181503,11362,57,0,0,0
"112",2,2116,2,0.152464851737022,11751,55,0,0,0
"113",2,2201,2,0.12167727202177,10639,50,0,0,0
"114",2,2202,2,0.119904078543186,10794,52,0,0,0
"115",2,2203,2,0.121643118560314,10640,51,0,0,0
"116",2,2204,2,0.101195953786373,10821,51,0,0,0
"117",2,2205,2,0.0730727091431618,10913,41,0,0,0
"118",2,2206,2,0.149713784456253,11303,57,0,0,0
"119",2,2207,2,0.126559391617775,11013,54,0,0,0
"120",2,2208,2,0.149122804403305,11337,68,0,0,0
"121",2,2209,2,0.186120718717575,11230,57,0,0,0
"122",2,2210,2,0.0895094871520996,11139,34,0,0,0
"123",2,2211,2,0.121760308742523,11444,56,0,0,0
"124",2,2212,2,0.140944331884384,11303,56,0,0,0
"125",2,2213,2,0.0977777764201164,11212,48,0,0,0
"126",2,2214,2,0.129366099834442,11537,65,0,0,0
"127",2,2215,2,0.174504846334457,11398,70,0,0,0
"128",2,2216,2,0.11868429929018,11734,67,0,0,0
"129",2,1101,3,0.0839395672082901,10669,57,0,0,0
"130",2,1102,3,0.0740329474210739,10758,50,0,0,0
"131",2,1103,3,0.0655492097139359,10615,64,0,0,0
"132",2,1104,3,0.0464123263955116,10716,61,0,0,0
"133",2,1105,3,0.12894906103611,10782,78,0,0,0
"134",2,1106,3,0.0445871241390705,11166,49,0,0,0
"135",2,1107,3,0.0897988528013229,11087,51,0,0,0
"136",2,1108,3,0.0799289494752884,11193,68,0,0,0
"137",2,1109,3,0.0541711822152138,11023,58,0,0,0
"138",2,1110,3,0.0708528906106949,11240,52,0,0,0
"139",2,1111,3,0.0916758328676224,10840,70,0,0,0
"140",2,1112,3,0.0723523572087288,10986,73,0,0,0
"141",2,1113,3,0.0826370418071747,10826,65,0,0,0
"142",2,1114,3,0.0827357992529869,10823,58,0,0,0
"143",2,1115,3,0.136338844895363,10939,65,0,0,0
"144",2,1116,3,0.0528774112462997,11293,55,0,0,0
"145",2,1201,3,0.0882699117064476,10133,63,0,0,0
