"","lane","tile","code","value"
"1",2,1101,202,0
"2",2,1101,202,0
"3",2,1102,202,0
"4",2,1102,202,0
"5",2,1102,202,0
"6",2,1103,202,0
"7",2,1103,202,0
"8",2,1104,202,0
"9",2,1104,202,0
"10",2,1105,202,0
"11",2,1105,202,0
"12",2,1106,202,0
"13",2,1106,202,0
"14",2,1107,202,0
"15",2,1107,202,0
"16",2,1108,202,0
"17",2,1108,202,0
"18",2,1109,202,0
"19",2,1109,202,0
"20",2,1110,202,0
"21",2,1110,202,0
"22",2,1111,202,0
"23",2,1111,202,0
"24",2,1112,202,0
"25",2,1112,202,0
"26",2,1113,202,0
"27",2,1113,202,0
"28",2,1114,202,0
"29",2,1114,202,0
"30",2,1115,202,0
"31",2,1115,202,0
"32",2,1116,202,0
"33",2,1116,202,0
"34",2,1201,202,0
"35",2,1201,202,0
"36",2,1202,202,0
"37",2,1202,202,0
"38",2,1203,202,0
"39",2,1203,202,0
"40",2,1204,202,0
"41",2,1204,202,0
"42",2,1205,202,0
"43",2,1205,202,0
"44",2,1206,202,0
"45",2,1206,202,0
"46",2,1207,202,0
"47",2,1207,202,0
"48",2,1208,202,0
"49",2,1208,202,0
"50",2,1209,202,0
"51",2,1209,202,0
"52",2,1210,202,0
"53",2,1210,202,0
"54",2,1211,202,0
"55",2,1211,202,0
"56",2,1212,202,0
"57",2,1212,202,0
"58",2,1213,202,0
"59",2,1213,202,0
"60",2,1214,202,0
"61",2,1214,202,0
"62",2,1215,202,0
"63",2,1215,202,0
"64",2,1216,202,0
"65",2,1216,202,0
"66",2,2101,202,0
"67",2,2101,202,0
"68",2,2102,202,0
"69",2,2102,202,0
"70",2,2103,202,0
"71",2,2103,202,0
"72",2,2104,202,0
"73",2,2104,202,0
"74",2,2105,202,0
"75",2,2105,202,0
"76",2,2106,202,0
"77",2,2106,202,0
"78",2,2107,202,0
"79",2,2107,202,0
"80",2,2108,202,0
"81",2,2108,202,0
"82",2,2109,202,0
"83",2,2109,202,0
"84",2,2110,202,0
"85",2,2110,202,0
"86",2,2111,202,0
"87",2,2111,202,0
"88",2,2112,202,0
"89",2,2112,202,0
"90",2,2113,202,0
"91",2,2113,202,0
"92",2,2114,202,0
"93",2,2114,202,0
"94",2,2115,202,0
"95",2,2115,202,0
"96",2,2116,202,0
"97",2,2116,202,0
"98",2,2201,202,0
"99",2,2201,202,0
"100",2,2202,202,0
"101",2,2202,202,0
"102",2,2203,202,0
"103",2,2203,202,0
"104",2,2204,202,0
"105",2,2204,202,0
"106",2,2205,202,0
"107",2,2205,202,0
"108",2,2206,202,0
"109",2,2206,202,0
"110",2,2207,202,0
"111",2,2207,202,0
"112",2,2208,202,0
"113",2,2208,202,0
"114",2,2209,202,0
"115",2,2209,202,0
"116",2,2210,202,0
"117",2,2210,202,0
"118",2,2211,202,0
"119",2,2211,202,0
"120",2,2212,202,0
"121",2,2212,202,0
"122",2,2213,202,0
"123",2,2213,202,0
"124",2,2214,202,0
"125",2,2214,202,0
"126",2,2215,202,0
"127",2,2215,202,0
"128",2,2216,202,0
"129",2,2216,202,0
"130",2,1101,203,0
