"","lane","tile","code","value"
"1",2,1101,100,833144.75
"2",2,1102,100,853298.5625
"3",2,1103,100,876893
"4",2,1104,100,902328.4375
"5",2,1105,100,926175.6875
"6",2,1106,100,946220.4375
"7",2,1107,100,964523.9375
"8",2,1108,100,977557.625
"9",2,1109,100,990563.125
"10",2,1110,100,1015894.0625
"11",2,1111,100,1052900.625
"12",2,1112,100,1081661.375
"13",2,1113,100,1106895.5
"14",2,1114,100,1125833
"15",2,1115,100,1137865.625
"16",2,1116,100,1148186.125
"17",2,1201,100,818816.625
"18",2,1202,100,838866.625
"19",2,1203,100,859706.5625
"20",2,1204,100,884126
"21",2,1205,100,908564.5625
"22",2,1206,100,929635.0625
"23",2,1207,100,947752.0625
"24",2,1208,100,964477.0625
"25",2,1209,100,979204.8125
"26",2,1210,100,995691.625
"27",2,1211,100,1027259
"28",2,1212,100,1059439.25
"29",2,1213,100,1087125
"30",2,1214,100,1104425
"31",2,1215,100,1122398.625
"32",2,1216,100,1137687.75
"33",2,2101,100,835219.0625
"34",2,2102,100,855484
"35",2,2103,100,878633.3125
"36",2,2104,100,905599.25
"37",2,2105,100,928832.625
"38",2,2106,100,947541.3125
"39",2,2107,100,967785.375
"40",2,2108,100,985644.375
"41",2,2109,100,998358.625
"42",2,2110,100,1026646.5
"43",2,2111,100,1062630.125
"44",2,2112,100,1091583.25
"45",2,2113,100,1113735.375
"46",2,2114,100,1139177.375
"47",2,2115,100,1155626.75
"48",2,2116,100,1167224.25
"49",2,2201,100,821826
"50",2,2202,100,841239.875
"51",2,2203,100,861462.4375
"52",2,2204,100,887496.125
"53",2,2205,100,910406.1875
"54",2,2206,100,931837.4375
"55",2,2207,100,951898.25
"56",2,2208,100,967756.1875
"57",2,2209,100,983394.375
"58",2,2210,100,1002321.5
"59",2,2211,100,1039246.125
"60",2,2212,100,1068273.25
"61",2,2213,100,1097685.75
"62",2,2214,100,1123450
"63",2,2215,100,1142927.75
"64",2,2216,100,1158285.375
"65",2,1101,101,785136.375
"66",2,1102,101,802592
"67",2,1103,101,820346.125
"68",2,1104,101,841875.5625
"69",2,1105,101,847109.3125
"70",2,1106,101,876123.8125
"71",2,1107,101,889181.875
"72",2,1108,101,897090.5625
"73",2,1109,101,905389.5
"74",2,1110,101,926124.3125
"75",2,1111,101,951373.125
"76",2,1112,101,967566.9375
"77",2,1113,101,982043.75
"78",2,1114,101,992997.875
"79",2,1115,101,993852.75
"80",2,1116,101,1001754.875
"81",2,1201,101,774509.6875
"82",2,1202,101,791951.6875
"83",2,1203,101,809501
"84",2,1204,101,829367.25
"85",2,1205,101,830056.625
"86",2,1206,101,863949.25
"87",2,1207,101,878670.4375
"88",2,1208,101,889931.875
"89",2,1209,101,899268.3125
"90",2,1210,101,913211
"91",2,1211,101,935559.3125
"92",2,1212,101,955786.375
"93",2,1213,101,972779.5
"94",2,1214,101,979460.75
"95",2,1215,101,988280.9375
"96",2,1216,101,997867.1875
"97",2,2101,101,787539.1875
"98",2,2102,101,807132.9375
"99",2,2103,101,826746.5625
"100",2,2104,101,848666.9375
"101",2,2105,101,858627.4375
"102",2,2106,101,881932.3125
"103",2,2107,101,898053.75
"104",2,2108,101,911445
"105",2,2109,101,918681.5625
"106",2,2110,101,939625.25
"107",2,2111,101,965413.8125
"108",2,2112,101,983478.3125
"109",2,2113,101,997674.9375
"110",2,2114,101,1011898.125
"111",2,2115,101,1017763.5625
"112",2,2116,101,1020965.5625
"113",2,2201,101,780666
"114",2,2202,101,797187.4375
"115",2,2203,101,814341.5625
"116",2,2204,101,835971.5
"117",2,2205,101,837213.8125
"118",2,2206,101,872093.3125
"119",2,2207,101,887563.5625
"120",2,2208,101,900598.875
"121",2,2209,101,908931.1875
"122",2,2210,101,922885
"123",2,2211,101,952035.6875
"124",2,2212,101,970074
"125",2,2213,101,989268.375
"126",2,2214,101,1003920.0625
"127",2,2215,101,1013208
"128",2,2216,101,1019841.3125
"129",2,1101,102,2399457
"130",2,1102,102,2457500
"131",2,1103,102,2525452
"132",2,1104,102,2598706
"133",2,1105,102,2667386
"134",2,1106,102,2725115
"135",2,1107,102,2777829
"136",2,1108,102,2815366
"137",2,1109,102,2852822
"138",2,1110,102,2925775
"139",2,1111,102,3032354
"140",2,1112,102,3115185
"141",2,1113,102,3187859
"142",2,1114,102,3242399
"143",2,1115,102,3277053
"144",2,1116,102,3306776
"145",2,1201,102,2358192
"146",2,1202,102,2415936
"147",2,1203,102,2475955
"148",2,1204,102,2546283
"149",2,1205,102,2616666
"150",2,1206,102,2677349
"151",2,1207,102,2729526
"152",2,1208,102,2777694
"153",2,1209,102,2820110
"154",2,1210,102,2867592
"155",2,1211,102,2958506
"156",2,1212,102,3051185
"157",2,1213,102,3130920
