"","lane","tile","code","value"
"137",1,1101,100,815518
"133",1,1102,100,837055.1875
"139",1,1103,100,861977.75
"141",1,1104,100,885438.5
"131",1,1105,100,908224.25
"135",1,1106,100,924064.1875
"129",1,1107,100,940336.4375
"143",1,1108,100,959045.125
"153",1,1109,100,973083.625
"151",1,1110,100,992495.4375
"155",1,1111,100,1029837.4375
"161",1,1112,100,1049950.625
"147",1,1113,100,1068723.625
"149",1,1114,100,1087160
"145",1,1115,100,1094483.25
"159",1,1116,100,1113062.5
"169",1,1201,100,818552.0625
"171",1,1202,100,839181.5625
"167",1,1203,100,865460.375
"175",1,1204,100,888900.3125
"163",1,1205,100,909700.3125
"165",1,1206,100,923179.5
"157",1,1207,100,942166.625
"177",1,1208,100,959652.0625
"187",1,1209,100,974993.375
"185",1,1210,100,1000934
"181",1,1211,100,1034920.8125
"197",1,1212,100,1056668.75
"173",1,1213,100,1073020.5
"183",1,1214,100,1089919.375
"179",1,1215,100,1106728.125
"195",1,1216,100,1122397.875
"203",1,2101,100,821135.0625
"199",1,2102,100,838574.25
"193",1,2103,100,863379.5
"217",1,2104,100,887938.5
"189",1,2105,100,908655.875
"201",1,2106,100,928303.8125
"191",1,2107,100,947283.625
"211",1,2108,100,964142.3125
"215",1,2109,100,977627.375
"213",1,2110,100,1003037.8125
"207",1,2111,100,1039776
"235",1,2112,100,1068901.375
"205",1,2113,100,1092035.375
"219",1,2114,100,1114468.375
"209",1,2115,100,1137864.875
"227",1,2116,100,1152830.125
"231",1,2201,100,824318
"229",1,2202,100,843570.125
"223",1,2203,100,867270.8125
"253",1,2204,100,893216.3125
"221",1,2205,100,914084.3125
"233",1,2206,100,932725.6875
"225",1,2207,100,951404.8125
"247",1,2208,100,966330.875
"243",1,2209,100,981705.875
"245",1,2210,100,1012330.5
"237",1,2211,100,1050173.875
"259",1,2212,100,1076512.5
"239",1,2213,100,1100571.5
"249",1,2214,100,1122224.625
"241",1,2215,100,1142010
"269",1,2216,100,1156095.125
"917",1,1101,101,771136.375
"927",1,1102,101,790760.6875
"925",1,1103,101,810802.6875
"919",1,1104,101,830514.125
"921",1,1105,101,837259.6875
"923",1,1106,101,860099.6875
"929",1,1107,101,870571.5
"915",1,1108,101,884611.75
"938",1,1109,101,891474.5625
"947",1,1110,101,909731.5625
"957",1,1111,101,935785.75
"953",1,1112,101,944971.1875
"955",1,1113,101,954622.5625
"967",1,1114,101,960331.1875
"965",1,1115,101,962491.5625
"969",1,1116,101,971921.5625
"975",1,1201,101,773967.25
"981",1,1202,101,791795.4375
"992",1,1203,101,813669.125
"995",1,1204,101,832116.25
"997",1,1205,101,837977.125
"1007",1,1206,101,852073.875
"1003",1,1207,101,872463.5
"1009",1,1208,101,884786.6875
"1014",1,1209,101,896827
"1019",1,1210,101,915036.6875
"1026",1,1211,101,939339.8125
"1032",1,1212,101,951962.375
"1035",1,1213,101,961384.6875
"1043",1,1214,101,966017.25
"1045",1,1215,101,977514.5625
"1049",1,1216,101,986602.0625
"1055",1,2101,101,780248.9375
"1059",1,2102,101,795395.4375
"1066",1,2103,101,816800
"1072",1,2104,101,836950
"1074",1,2105,101,836202.8125
"1083",1,2106,101,868780.5625
"1085",1,2107,101,882743.3125
"1089",1,2108,101,894653.4375
"1094",1,2109,101,903550
"1099",1,2110,101,925228.0625
"1105",1,2111,101,951754.875
"1112",1,2112,101,970598.6875
"1114",1,2113,101,983034.625
"1122",1,2114,101,993464.1875
"1124",1,2115,101,1006358.3125
"1129",1,2116,101,1006590.9375
"1134",1,2201,101,782109.25
"1139",1,2202,101,799245.5
"1144",1,2203,101,819566.625
"1150",1,2204,101,840545.125
"1154",1,2205,101,847143.3125
"1161",1,2206,101,869305.1875
"1167",1,2207,101,884806.875
"1174",1,2208,101,896848.5625
"1170",1,2209,101,908032.25
"1179",1,2210,101,930781.1875
"1184",1,2211,101,960326.375
"1190",1,2212,101,975450.3125
"1194",1,2213,101,989818.375
"1201",1,2214,101,1001178.0625
"1205",1,2215,101,1009605.5
"1215",1,2216,101,1016194.125
"138",1,1101,102,2348692
"134",1,1102,102,2410719
"140",1,1103,102,2482496
"142",1,1104,102,2550063
"132",1,1105,102,2615686
"136",1,1106,102,2661305
"130",1,1107,102,2708169
"144",1,1108,102,2762050
"154",1,1109,102,2802481
"152",1,1110,102,2858387
"156",1,1111,102,2965932
"162",1,1112,102,3023858
"148",1,1113,102,3077924
"150",1,1114,102,3131021
"146",1,1115,102,3152112
"160",1,1116,102,3205620
"170",1,1201,102,2357430
"172",1,1202,102,2416843
"168",1,1203,102,2492526
"176",1,1204,102,2560033
"164",1,1205,102,2619937
"166",1,1206,102,2658757
"158",1,1207,102,2713440
"178",1,1208,102,2763798
"188",1,1209,102,2807981
"186",1,1210,102,2882690
"182",1,1211,102,2980572
"198",1,1212,102,3043206
"174",1,1213,102,3090299
"184",1,1214,102,3138968
"180",1,1215,102,3187377
"196",1,1216,102,3232506
"204",1,2101,102,2364869
"200",1,2102,102,2415094
"194",1,2103,102,2486533
"218",1,2104,102,2557263
"190",1,2105,102,2616929
"202",1,2106,102,2673515
"192",1,2107,102,2728177
"212",1,2108,102,2776730
"216",1,2109,102,2815567
"214",1,2110,102,2888749
"208",1,2111,102,2994555
"236",1,2112,102,3078436
"206",1,2113,102,3145062
"220",1,2114,102,3209669
"210",1,2115,102,3277051
"228",1,2116,102,3320151
"232",1,2201,102,2374036
"230",1,2202,102,2429482
"224",1,2203,102,2497740
"254",1,2204,102,2572463
"222",1,2205,102,2632563
"234",1,2206,102,2686250
"226",1,2207,102,2740046
"248",1,2208,102,2783033
"244",1,2209,102,2827313
"246",1,2210,102,2915512
"238",1,2211,102,3024501
"260",1,2212,102,3100356
